Company,IS_PARTIAL_OWNER_OF,Company
0000070858,IS_PARTIAL_OWNER_OF,0001183829
0000070858,IS_PARTIAL_OWNER_OF,0001565381
0000070858,IS_PARTIAL_OWNER_OF,0001479046
0000070858,IS_PARTIAL_OWNER_OF,0000102426
0000070858,IS_PARTIAL_OWNER_OF,0001074691
0000070858,IS_PARTIAL_OWNER_OF,0001564584
0000070858,IS_PARTIAL_OWNER_OF,0001557915
0000070858,IS_PARTIAL_OWNER_OF,0001159038
0000070858,IS_PARTIAL_OWNER_OF,0001412495
0000070858,IS_PARTIAL_OWNER_OF,0001169031
0000070858,IS_PARTIAL_OWNER_OF,0000901824
0000070858,IS_PARTIAL_OWNER_OF,0001051004
0000070858,IS_PARTIAL_OWNER_OF,0000885601
0000070858,IS_PARTIAL_OWNER_OF,0001074686
0000070858,IS_PARTIAL_OWNER_OF,0001167470
0000070858,IS_PARTIAL_OWNER_OF,0000883265
0000070858,IS_PARTIAL_OWNER_OF,0001137440
0000070858,IS_PARTIAL_OWNER_OF,0000892992
0000070858,IS_PARTIAL_OWNER_OF,0000894239
0000070858,IS_PARTIAL_OWNER_OF,0001219120
0000070858,IS_PARTIAL_OWNER_OF,0000911308
0000070858,IS_PARTIAL_OWNER_OF,0000882153
0000070858,IS_PARTIAL_OWNER_OF,0000882150
0000070858,IS_PARTIAL_OWNER_OF,0001181249
0000070858,IS_PARTIAL_OWNER_OF,0001038186
0000070858,IS_PARTIAL_OWNER_OF,0000887394
0000070858,IS_PARTIAL_OWNER_OF,0001087786
0000070858,IS_PARTIAL_OWNER_OF,0001178841
0000070858,IS_PARTIAL_OWNER_OF,0000070858
0000070858,IS_PARTIAL_OWNER_OF,0000895422
0000070858,IS_PARTIAL_OWNER_OF,0001087783
0000070858,IS_PARTIAL_OWNER_OF,0000879535
0000070858,IS_PARTIAL_OWNER_OF,0000897419
0000070858,IS_PARTIAL_OWNER_OF,0000884216
0000070858,IS_PARTIAL_OWNER_OF,0000882152
0000070858,IS_PARTIAL_OWNER_OF,0000888410
0000070858,IS_PARTIAL_OWNER_OF,0000874506
0000070858,IS_PARTIAL_OWNER_OF,0000890393
0000070858,IS_PARTIAL_OWNER_OF,0000082534
0000070858,IS_PARTIAL_OWNER_OF,0001159039
0000070858,IS_PARTIAL_OWNER_OF,0001090117
0000070858,IS_PARTIAL_OWNER_OF,0000907573
0000070858,IS_PARTIAL_OWNER_OF,0000868440
0000070858,IS_PARTIAL_OWNER_OF,0000882151
0000070858,IS_PARTIAL_OWNER_OF,0001232863
0000070858,IS_PARTIAL_OWNER_OF,0000899752
0000070858,IS_PARTIAL_OWNER_OF,0001215664
0000070858,IS_PARTIAL_OWNER_OF,0000891037
0000070858,IS_PARTIAL_OWNER_OF,0001214935
0000070858,IS_PARTIAL_OWNER_OF,0000835948
0000070858,IS_PARTIAL_OWNER_OF,0001162030
0000070858,IS_PARTIAL_OWNER_OF,0001038190
0000070858,IS_PARTIAL_OWNER_OF,0000862716
0000070858,IS_PARTIAL_OWNER_OF,0000891038
0000070858,IS_PARTIAL_OWNER_OF,0000897269
0000070858,IS_PARTIAL_OWNER_OF,0000890196
0000070858,IS_PARTIAL_OWNER_OF,0001045126
0000070858,IS_PARTIAL_OWNER_OF,0000891188
0000070858,IS_PARTIAL_OWNER_OF,0001145728
0000070858,IS_PARTIAL_OWNER_OF,0001501378
0000070858,IS_PARTIAL_OWNER_OF,0001501377
0000070858,IS_PARTIAL_OWNER_OF,0001501376
0000070858,IS_PARTIAL_OWNER_OF,0001034665
0000070858,IS_PARTIAL_OWNER_OF,0001053988
0000070858,IS_PARTIAL_OWNER_OF,0001280936
0000070858,IS_PARTIAL_OWNER_OF,0001163792
0000070858,IS_PARTIAL_OWNER_OF,0001334510
0000070858,IS_PARTIAL_OWNER_OF,0001305767
0000070858,IS_PARTIAL_OWNER_OF,0000902274
0000070858,IS_PARTIAL_OWNER_OF,0000885712
0000070858,IS_PARTIAL_OWNER_OF,0001161070
0000070858,IS_PARTIAL_OWNER_OF,0001181250
0000070858,IS_PARTIAL_OWNER_OF,0001127706
0000070858,IS_PARTIAL_OWNER_OF,0000878198
0000070858,IS_PARTIAL_OWNER_OF,0001090116
0000070858,IS_PARTIAL_OWNER_OF,0000883269
0000070858,IS_PARTIAL_OWNER_OF,0001137888
0000070858,IS_PARTIAL_OWNER_OF,0001137390
0000070858,IS_PARTIAL_OWNER_OF,0000897427
0000070858,IS_PARTIAL_OWNER_OF,0001074687
0000070858,IS_PARTIAL_OWNER_OF,0001178840
0000070858,IS_PARTIAL_OWNER_OF,0000902722
0000070858,IS_PARTIAL_OWNER_OF,0001280226
0000070858,IS_PARTIAL_OWNER_OF,0000896061
0000070858,IS_PARTIAL_OWNER_OF,0000890898
0000070858,IS_PARTIAL_OWNER_OF,0000870780
0000070858,IS_PARTIAL_OWNER_OF,0000856226
0000070858,IS_PARTIAL_OWNER_OF,0001167467
0000070858,IS_PARTIAL_OWNER_OF,0001227857
0000070858,IS_PARTIAL_OWNER_OF,0001202806
0000070858,IS_PARTIAL_OWNER_OF,0001166258
0000070858,IS_PARTIAL_OWNER_OF,0000880843
0000070858,IS_PARTIAL_OWNER_OF,0001287480
0000070858,IS_PARTIAL_OWNER_OF,0001181187
0000070858,IS_PARTIAL_OWNER_OF,0000902731
0000070858,IS_PARTIAL_OWNER_OF,0000878200
0000070858,IS_PARTIAL_OWNER_OF,0001245648
0000070858,IS_PARTIAL_OWNER_OF,0001074690
0000070858,IS_PARTIAL_OWNER_OF,0001137392
0000070858,IS_PARTIAL_OWNER_OF,0001331948
0000070858,IS_PARTIAL_OWNER_OF,0001258623
0000070858,IS_PARTIAL_OWNER_OF,0001187520
0000070858,IS_PARTIAL_OWNER_OF,0001229876
0000070858,IS_PARTIAL_OWNER_OF,0001195737
0000070858,IS_PARTIAL_OWNER_OF,0001288992
0000070858,IS_PARTIAL_OWNER_OF,0000872064
0000070858,IS_PARTIAL_OWNER_OF,0001169028
0000070858,IS_PARTIAL_OWNER_OF,0001059386
0000070858,IS_PARTIAL_OWNER_OF,0000869405
0000070858,IS_PARTIAL_OWNER_OF,0001087787
