News,MENTIONS,Event
3004,MENTIONS,2006_8
3017,MENTIONS,2022_39
3022,MENTIONS,2022_39
3032,MENTIONS,2016_2
3040,MENTIONS,2008_3
3040,MENTIONS,2020_29
3046,MENTIONS,2002_3
3061,MENTIONS,2006_5
3070,MENTIONS,2006_5
3071,MENTIONS,2002_3
3101,MENTIONS,2021_33
3116,MENTIONS,2022_39
3138,MENTIONS,2016_7
3147,MENTIONS,2022_39
3157,MENTIONS,2022_39
3161,MENTIONS,2017_0
3190,MENTIONS,2001_6
3190,MENTIONS,2016_11
3202,MENTIONS,2022_39
3224,MENTIONS,2016_11
3227,MENTIONS,2016_11
3266,MENTIONS,2023_23
3280,MENTIONS,2006_10
3294,MENTIONS,2014_0
3294,MENTIONS,2022_5
3306,MENTIONS,2014_0
3306,MENTIONS,2022_5
3317,MENTIONS,2022_39
3318,MENTIONS,2022_5
3335,MENTIONS,2016_1
3350,MENTIONS,2009_0
3365,MENTIONS,2022_39
3370,MENTIONS,2007_2
3372,MENTIONS,2002_3
3372,MENTIONS,2020_15
3372,MENTIONS,2021_8
3386,MENTIONS,2022_5
3390,MENTIONS,2014_0
3390,MENTIONS,2015_6
3390,MENTIONS,2022_5
3391,MENTIONS,2006_3
3392,MENTIONS,2023_23
3398,MENTIONS,2014_0
3450,MENTIONS,2002_12
3474,MENTIONS,2016_7
3491,MENTIONS,2006_8
3506,MENTIONS,2022_5
3524,MENTIONS,2013_10
3525,MENTIONS,2013_10
3536,MENTIONS,2017_0
3550,MENTIONS,2022_39
3551,MENTIONS,2002_12
3564,MENTIONS,2009_0
3565,MENTIONS,2009_0
3581,MENTIONS,2009_4
3605,MENTIONS,2002_12
3640,MENTIONS,2016_7
3648,MENTIONS,2013_10
3651,MENTIONS,2002_3
3676,MENTIONS,2009_0
3685,MENTIONS,2009_0
3695,MENTIONS,2009_0
3723,MENTIONS,2016_11
3744,MENTIONS,2009_0
3763,MENTIONS,2022_39
3770,MENTIONS,2018_1
3775,MENTIONS,2022_39
3781,MENTIONS,2022_43
3808,MENTIONS,2009_0
3808,MENTIONS,2021_39
3818,MENTIONS,2022_11
3820,MENTIONS,2002_12
3830,MENTIONS,2022_39
3848,MENTIONS,2016_11
3945,MENTIONS,2020_29
3945,MENTIONS,2021_5
3947,MENTIONS,2001_6
3947,MENTIONS,2008_4
3947,MENTIONS,2016_6
3951,MENTIONS,2022_39
