Company,BELONGS_TO_INDUSTRY_OF,Industry
0000813672,BELONGS_TO_INDUSTRY_OF,7372
0000860546,BELONGS_TO_INDUSTRY_OF,6798
0001402057,BELONGS_TO_INDUSTRY_OF,5961
0001306830,BELONGS_TO_INDUSTRY_OF,2820
0001341766,BELONGS_TO_INDUSTRY_OF,2086
0000887733,BELONGS_TO_INDUSTRY_OF,5190
0000949157,BELONGS_TO_INDUSTRY_OF,3334
0001827090,BELONGS_TO_INDUSTRY_OF,7372
0001173489,BELONGS_TO_INDUSTRY_OF,7370
0001324404,BELONGS_TO_INDUSTRY_OF,2870
0001490906,BELONGS_TO_INDUSTRY_OF,6035
0000759944,BELONGS_TO_INDUSTRY_OF,6022
0000039263,BELONGS_TO_INDUSTRY_OF,6021
0001527166,BELONGS_TO_INDUSTRY_OF,6282
0000851205,BELONGS_TO_INDUSTRY_OF,3823
0000726854,BELONGS_TO_INDUSTRY_OF,6021
0000313927,BELONGS_TO_INDUSTRY_OF,2840
0000020212,BELONGS_TO_INDUSTRY_OF,7948
0000019584,BELONGS_TO_INDUSTRY_OF,8082
0001517175,BELONGS_TO_INDUSTRY_OF,5141
0001046311,BELONGS_TO_INDUSTRY_OF,7011
0001486159,BELONGS_TO_INDUSTRY_OF,1311
0001043277,BELONGS_TO_INDUSTRY_OF,4731
0001091667,BELONGS_TO_INDUSTRY_OF,4841
0001766502,BELONGS_TO_INDUSTRY_OF,5961
0001739940,BELONGS_TO_INDUSTRY_OF,6324
0000936395,BELONGS_TO_INDUSTRY_OF,3661
0000020286,BELONGS_TO_INDUSTRY_OF,6331
0001509589,BELONGS_TO_INDUSTRY_OF,1311
0000021665,BELONGS_TO_INDUSTRY_OF,2844
0001958086,BELONGS_TO_INDUSTRY_OF,1389
0000764065,BELONGS_TO_INDUSTRY_OF,1000
0000822818,BELONGS_TO_INDUSTRY_OF,4955
0000827876,BELONGS_TO_INDUSTRY_OF,6199
0000021076,BELONGS_TO_INDUSTRY_OF,2842
0000028412,BELONGS_TO_INDUSTRY_OF,6021
0000022444,BELONGS_TO_INDUSTRY_OF,3312
0001166691,BELONGS_TO_INDUSTRY_OF,4841
0001156375,BELONGS_TO_INDUSTRY_OF,6200
0001058090,BELONGS_TO_INDUSTRY_OF,5812
0000026172,BELONGS_TO_INDUSTRY_OF,3510
0000811156,BELONGS_TO_INDUSTRY_OF,4931
0001071739,BELONGS_TO_INDUSTRY_OF,6324
0001567094,BELONGS_TO_INDUSTRY_OF,3531
0001385280,BELONGS_TO_INDUSTRY_OF,7830
0001856525,BELONGS_TO_INDUSTRY_OF,5099
0000816956,BELONGS_TO_INDUSTRY_OF,3845
0001224608,BELONGS_TO_INDUSTRY_OF,6321
0001130310,BELONGS_TO_INDUSTRY_OF,4911
0001710366,BELONGS_TO_INDUSTRY_OF,1220
0001284812,BELONGS_TO_INDUSTRY_OF,6282
0001070412,BELONGS_TO_INDUSTRY_OF,1311
0001803599,BELONGS_TO_INDUSTRY_OF,7389
0001050377,BELONGS_TO_INDUSTRY_OF,5961
0000927628,BELONGS_TO_INDUSTRY_OF,6021
0000820318,BELONGS_TO_INDUSTRY_OF,3827
0000021535,BELONGS_TO_INDUSTRY_OF,3825
0000317540,BELONGS_TO_INDUSTRY_OF,2086
0000887343,BELONGS_TO_INDUSTRY_OF,6022
0001267565,BELONGS_TO_INDUSTRY_OF,2834
0001050797,BELONGS_TO_INDUSTRY_OF,2300
0002014596,BELONGS_TO_INDUSTRY_OF,8093
0000711404,BELONGS_TO_INDUSTRY_OF,3851
0000933136,BELONGS_TO_INDUSTRY_OF,6199
0001163165,BELONGS_TO_INDUSTRY_OF,2911
0001088856,BELONGS_TO_INDUSTRY_OF,2834
0000909832,BELONGS_TO_INDUSTRY_OF,5331
0001024305,BELONGS_TO_INDUSTRY_OF,2844
0000016732,BELONGS_TO_INDUSTRY_OF,2000
0000701347,BELONGS_TO_INDUSTRY_OF,6022
0000019745,BELONGS_TO_INDUSTRY_OF,4923
0001530721,BELONGS_TO_INDUSTRY_OF,3100
0000900075,BELONGS_TO_INDUSTRY_OF,5500
0001369568,BELONGS_TO_INDUSTRY_OF,2834
0000906345,BELONGS_TO_INDUSTRY_OF,6798
0001944013,BELONGS_TO_INDUSTRY_OF,3490
0001609253,BELONGS_TO_INDUSTRY_OF,1311
0001866175,BELONGS_TO_INDUSTRY_OF,1311
0001060822,BELONGS_TO_INDUSTRY_OF,2300
0000023194,BELONGS_TO_INDUSTRY_OF,1311
0001100682,BELONGS_TO_INDUSTRY_OF,8731
0001108524,BELONGS_TO_INDUSTRY_OF,7372
0001334036,BELONGS_TO_INDUSTRY_OF,3021
0000017843,BELONGS_TO_INDUSTRY_OF,3312
0001743759,BELONGS_TO_INDUSTRY_OF,3577
0000772406,BELONGS_TO_INDUSTRY_OF,3674
0000874866,BELONGS_TO_INDUSTRY_OF,6411
0000858877,BELONGS_TO_INDUSTRY_OF,3576
0001057352,BELONGS_TO_INDUSTRY_OF,7389
0001005757,BELONGS_TO_INDUSTRY_OF,7374
0000790051,BELONGS_TO_INDUSTRY_OF,3060
0000798359,BELONGS_TO_INDUSTRY_OF,6798
0001624794,BELONGS_TO_INDUSTRY_OF,2891
0000277948,BELONGS_TO_INDUSTRY_OF,4011
