Company,HAS_EXCHANGE_MARKET,Exchange
0001599617,HAS_EXCHANGE_MARKET,NYSE
0001582961,HAS_EXCHANGE_MARKET,NYSE
0001516513,HAS_EXCHANGE_MARKET,NYSE
0001261333,HAS_EXCHANGE_MARKET,Nasdaq
0000868780,HAS_EXCHANGE_MARKET,Nasdaq
0000029905,HAS_EXCHANGE_MARKET,NYSE
0001751788,HAS_EXCHANGE_MARKET,NYSE
0001286681,HAS_EXCHANGE_MARKET,Nasdaq
0001298946,HAS_EXCHANGE_MARKET,NYSE
0000940944,HAS_EXCHANGE_MARKET,NYSE
0001042893,HAS_EXCHANGE_MARKET,NYSE
0001773383,HAS_EXCHANGE_MARKET,NYSE
0000936340,HAS_EXCHANGE_MARKET,NYSE
0001842022,HAS_EXCHANGE_MARKET,NYSE
0001326160,HAS_EXCHANGE_MARKET,NYSE
0001562088,HAS_EXCHANGE_MARKET,Nasdaq
0001819928,HAS_EXCHANGE_MARKET,NYSE
0000927066,HAS_EXCHANGE_MARKET,NYSE
0001029142,HAS_EXCHANGE_MARKET,Nasdaq
0001090012,HAS_EXCHANGE_MARKET,NYSE
0001688568,HAS_EXCHANGE_MARKET,NYSE
0001093557,HAS_EXCHANGE_MARKET,Nasdaq
0001020710,HAS_EXCHANGE_MARKET,Nasdaq
0000067215,HAS_EXCHANGE_MARKET,NYSE
0000712515,HAS_EXCHANGE_MARKET,Nasdaq
0000703351,HAS_EXCHANGE_MARKET,NYSE
0001065088,HAS_EXCHANGE_MARKET,Nasdaq
0002015845,HAS_EXCHANGE_MARKET,NYSE
0000031462,HAS_EXCHANGE_MARKET,NYSE
0001084961,HAS_EXCHANGE_MARKET,Nasdaq
0001047862,HAS_EXCHANGE_MARKET,NYSE
0001029199,HAS_EXCHANGE_MARKET,Nasdaq
0001411342,HAS_EXCHANGE_MARKET,NYSE
0000033185,HAS_EXCHANGE_MARKET,NYSE
0001050441,HAS_EXCHANGE_MARKET,Nasdaq
0000049600,HAS_EXCHANGE_MARKET,NYSE
0000785161,HAS_EXCHANGE_MARKET,NYSE
0001379041,HAS_EXCHANGE_MARKET,NYSE
0000827052,HAS_EXCHANGE_MARKET,NYSE
0001001250,HAS_EXCHANGE_MARKET,NYSE
0001600033,HAS_EXCHANGE_MARKET,NYSE
0000104894,HAS_EXCHANGE_MARKET,NYSE
0000895417,HAS_EXCHANGE_MARKET,NYSE
0001156039,HAS_EXCHANGE_MARKET,NYSE
0001872789,HAS_EXCHANGE_MARKET,Nasdaq
0000105634,HAS_EXCHANGE_MARKET,NYSE
0000915389,HAS_EXCHANGE_MARKET,NYSE
0000032604,HAS_EXCHANGE_MARKET,NYSE
0001420800,HAS_EXCHANGE_MARKET,NYSE
0001463101,HAS_EXCHANGE_MARKET,Nasdaq
0001632790,HAS_EXCHANGE_MARKET,NYSE
0001289308,HAS_EXCHANGE_MARKET,NYSE
0001125376,HAS_EXCHANGE_MARKET,Nasdaq
0001101302,HAS_EXCHANGE_MARKET,Nasdaq
0001529864,HAS_EXCHANGE_MARKET,NYSE
0000821189,HAS_EXCHANGE_MARKET,NYSE
0000006955,HAS_EXCHANGE_MARKET,NYSE
0001352010,HAS_EXCHANGE_MARKET,NYSE
0001096752,HAS_EXCHANGE_MARKET,NYSE
0001045450,HAS_EXCHANGE_MARKET,NYSE
